vstim11,vstim10,vstim13,vstim12,vstim15,vstim14,vstim16,vstim1,mask,vstim9,vstim8,vstim5,vstim4,vstim7,vstim6,aprime,vstim3,vstim2,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,instructStart,instructEnd,instructDur,isi,fixStart,primeStart,primeEnd,primeDur,chooseStart,chooseEnd,chooseDur,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,pic,buffer,resultStart,feedbkStart,image,resultEnd,resultDur,feedbkDur,targetStart,targetDur,date,frameRate,expName,session,participant
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/deskBell.ogg,stimuli/bell.png,stimuli/baby.png,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91265702248,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/dog.ogg,stimuli/bell.png,stimuli/baby.png,0,5,5,10,,,,,0,0,0,0,,,,,,1,110.356492996,113.358376026,115.359405041,2.00102901459,115.359424114,117.511515141,2.15209102631,-0.263095238095,0.0857142857143,1,0,0,pic9,,117.514640093,117.514640093,chimp,123.015069962,5.5004298687,3,121.014640093,2,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/dog.ogg,stimuli/bell.png,stimuli/baby.png,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84687995911,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/ghost.ogg,stimuli/bell.png,stimuli/baby.png,0,6,6,14,,,,,0,0,0,0,,,,,,1,126.917418003,129.920774937,131.922152996,2.00137805939,131.92217207,134.274178028,2.35200595856,-0.311904761905,0.577142857143,1,0,0,pic1,,134.277215004,134.277215004,cat,139.778347969,5.50113296509,3,137.777215004,2,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/ghost.ogg,stimuli/bell.png,stimuli/baby.png,0,6,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64661598206,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/cuckooClock.ogg,stimuli/bell.png,stimuli/baby.png,0,7,7,9,,,,,0,0,0,0,,,,,,1,143.413468122,146.416635036,148.416715145,2.00008010864,148.416733027,151.135452986,2.71871995926,0.290476190476,0.550476190476,1,0,0,pic4,,151.138949156,151.138949156,bird,156.639780045,5.50083088875,3,154.638949156,2,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/cuckooClock.ogg,stimuli/bell.png,stimuli/baby.png,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2811999321,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/baby.ogg,stimuli/bell.png,stimuli/baby.png,0,8,8,1,,,,,0,0,0,0,,,,,,3,159.909362078,164.912601948,166.913975954,2.00137400627,166.913995028,167.900264978,0.986269950867,0.102380952381,0.0304761904762,1,0,0,pic11,,167.903553009,167.903553009,dog,173.403526068,5.4999730587,3,171.403553009,2,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/baby.ogg,stimuli/bell.png,stimuli/baby.png,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01235604286,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/fireworks.ogg,stimuli/bell.png,stimuli/baby.png,0,9,9,12,,,,,0,0,0,0,,,,,,3,176.405071974,181.408282995,183.411049128,2.00276613235,183.411067963,184.894386053,1.48331809044,0.12619047619,-0.300952380952,1,0,0,pic15,,184.897711039,184.897711039,ghost,190.398638964,5.50092792511,3,188.397711039,2,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
